cdl_branch_code,geo_point_2d,cdl_libelle_long_bib
ABBA,"45.179321065791,5.74204779377817","Bibliothèque Abbaye les Bains"
ALLI,"45.1734260314259,5.7245407609497","Bibliothèque Alliance"
ARLE,"45.1639416910951,5.73316403040654","Bibliothèque Arlequin"
BCSI,"45.1952849566199,5.71167205473486","Bibliothèque municipale internationale"
BMEI,"45.1853423475203,5.7308767712179","Bibliothèque d'Etude et du Patrimoine"
BPLC,"45.1581340878263,5.7320574736168","Bibliothèque des Relais lecture"
CEVI,"45.190308693601,5.7292723483717","Bibliothèque Centre Ville"
CNRG,"45.173695385311,5.73454968578725","Bibliothèque du Conservatoire"
CRMM,"45.1903275360741,5.7300561640714","Bibliothèque de la Maison de la Montagne"
ECAR,"45.1865163344813,5.72667370669193","Bibliothèque de l'Ecole supérieure d'art"
ECLA,"45.1755426255276,5.70933329426306","Bibliothèque des Eaux Claires"
FCOM,"45.1853423475203,5.7308767712179","Bibliothèque du Fonds commun"
GRPL,"45.1572908888929,5.73338938395641","Bibliothèque Kateb Yacine (Grand Place)"
JVEN,"45.1925245083682,5.72731160059381","Bibliothèque du Jardin de Ville"
PREM,"45.1635467255704,5.72790943993487","Bibliothèque Prémol"
SBRU,"45.187920087457,5.71324164377146","Bibliothèque Saint Bruno"
TEIS,"45.1707689330315,5.74097979646165","Bibliothèque Teisseire-Malherbe"
